Carbon concentration (ppm),Silicon concentration (ppm),Manganese concentration (ppm),Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Sulphur concentration (ppm),Phosphorus concentration (ppm),Oxygen concentration (ppm),Nitrogen concentration (ppm),Current (A),Voltage (V),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),AC or DC,Electrode positive or negative,Nickel concentration (ppm),Chromium concentration (ppm),Molybdenum concentration (ppm),Vanadium concentration (ppm),Copper concentration (ppm),Titanium concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
0.0866666666666667,0.4,0.1205673758865247,0.1052631578947368,0.0,0,0.25,0.073170731707317,0.7146892655367232,0.2456896551724138,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.2278661222429686,0.059295027194389,0.2734207552736851,0.0440174012956797,0.342876160376194,0.0,0.2986017158274943,0.7214061596359898,0.3752762736489795,0.2846986135899642,0.2601745721298085,0.7230270857878207,0.7174019258867896,0.4966927740386913,0.4569574815157327
0.3133333333333333,0.3111111111111111,0.8581560283687942,0.1052631578947368,0.0,0,0.3125,0.0975609756097561,0.7259887005649717,0.2198275862068965,0.0,0.0,0.3289473684210526,0.5833333333333333,0.0,1.0,0.4635756439839809,0.1962510399689938,0.5169716283149901,0.4204700954269326,0.2847149343856466,0.2701546983788248,0.4027084201679213,0.503464068401172,0.3439267680389002,0.5022638739343577,0.4964597488543861,0.4509350261554562,0.5228466412411539,0.2033139935424152,0.0600549786570151
0.2600000000000001,0.4,0.595744680851064,0.1052631578947368,0.0,0,0.3125,0.1219512195121951,0.7514124293785311,0.2025862068965517,0.0,0.0,0.0,0.0,0.0,1.0,0.4944027075795166,0.3049738598858667,0.2121498351474215,0.237292525855932,0.2792211077615998,0.2887258256465392,0.4027084201679213,0.7622110847264594,0.4747133068388206,0.0,0.0,1.0,0.8290983497236097,0.3246399155867331,0.4097307128247254
0.3066666666666666,0.8666666666666668,0.5531914893617021,0.1052631578947368,0.0,0,0.1875,0.0975609756097561,0.7259887005649717,0.1163793103448275,0.0,0.0,0.0,0.0,0.0,1.0,0.4217661579929984,0.2362466318043354,0.6066323776569145,0.52950285384548,0.5480692270724581,0.2998685020071678,0.779933659665547,0.5196522461578752,0.2991849370093908,0.203874579761948,0.2791572726274542,0.7959047069452104,0.3352115851993171,0.2278601827075067,0.2097114571922235
0.2066666666666667,0.4666666666666668,0.595744680851064,0.1052631578947368,0.0,4,0.1875,0.048780487804878,0.7146892655367232,0.2586206896551724,0.0,0.0,0.0,0.0,0.0,1.0,0.5821748494462211,0.240168821536041,0.3120924585420823,0.1057181512835389,0.1826178853938782,0.2720118111055963,0.4250724736795201,0.3709950166262388,0.4167303200889978,0.2900852639542391,0.3154092428676252,0.7394254563166203,0.7099059770846265,0.2493667900140014,0.2097114571922235
0.3066666666666666,0.5555555555555557,0.595744680851064,0.1052631578947368,0.0,0,0.1875,0.1219512195121951,0.7231638418079096,0.1422413793103448,0.0,0.0,0.0,0.0,0.0,1.0,0.5485360716168227,0.3939498607077053,0.4272487571158043,0.3685044509622911,0.3310707551215763,0.2868687129197678,0.546598459976294,0.503464068401172,0.3439267680389002,0.31867925068713,0.3916314431655103,0.5220862945662155,0.4846634967432539,0.2493667900140014,0.2097114571922235
0.2333333333333333,0.488888888888889,0.3191489361702128,0.1052631578947368,0.0,0,0.3125,0.0975609756097561,0.7146892655367232,0.2456896551724138,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.4210854251696189,0.2835066482840937,0.2530239230548682,0.2706874665895905,0.3808329134715534,0.1558583213816015,0.5591595321148979,0.4915018615870394,0.4179496997449916,0.3422894177987742,0.3374502274108024,0.7376034461252688,0.639579812028535,0.4966927740386913,0.5625231997662199
0.24,0.7555555555555556,0.6312056737588653,0.1052631578947368,0.0,0,0.125,0.1219512195121951,0.6807909604519773,0.1206896551724138,0.0,0.0,0.0,0.0,0.0,1.0,0.5023282575472318,0.2626864588831621,0.6511864782433636,0.811905593001037,0.3776715665269854,0.6657197091811411,0.7410444597173381,0.5434812316934767,0.4535448805965697,0.4177555885360774,0.3562763089452639,0.6585894883838674,0.7874203201853058,0.3461465228932279,0.2097114571922235
0.1,0.4666666666666668,0.9432624113475178,0.1052631578947368,0.0,0,0.3125,0.2926829268292683,0.7146892655367232,0.2456896551724138,0.0,0.0,0.0,0.0,0.0,1.0,0.4380143617194692,0.5455516360992867,0.762901221914345,0.6929607061909397,0.4315655835649802,0.4565009352210708,0.424127669811885,0.4988584476850519,0.5857000305729262,0.5554588191922312,0.673688679553669,0.4186772625081494,0.431726172661794,0.5074460776919387,0.4097307128247254
0.4,0.2666666666666667,0.1134751773049646,0.7894736842105263,0.0,6,0.6875,0.048780487804878,1.0,0.2456896551724138,0.7252747252747254,0.1756440281030444,0.9078947368421052,0.4166666666666666,0.0,1.0,0.5185851926364093,0.4090675071046707,0.7713116453679337,0.6145435780171964,0.3475031579752238,0.6082243696391614,0.4765979000695181,0.3278761939795913,0.5083830444709344,0.4920255087416803,0.5261811547316915,0.4460762393763069,0.4587613409834876,0.7225121507568864,0.4847379336869135
0.1,0.4222222222222223,0.6170212765957446,0.1052631578947368,0.0,0,0.1875,0.073170731707317,0.7146892655367232,0.2456896551724138,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.6248137029198443,0.4363948472656401,0.5456130402230733,0.4859700069236394,0.5261247261312383,0.3561777798844451,0.401465569006504,0.5506942766614884,0.2398873392361247,0.3371702352024355,0.340422367998533,0.6404277105422815,0.639579812028535,0.3891597375062174,0.3569478536994818
0.2933333333333333,0.3555555555555557,0.6666666666666666,0.1052631578947368,0.0,0,0.375,0.0975609756097561,0.7824858757062148,0.25,0.0,0.0,0.3289473684210526,0.5833333333333333,0.0,0.0,0.4380143617194692,0.2446727534420603,0.3152837525144201,0.3685044509622911,0.2404721157513822,0.2850116001929963,0.4027084201679213,0.503464068401172,0.3439267680389002,0.3960408350603302,0.3864905471083563,0.5578283352967424,0.584455814712272,0.238613486360754,0.2097114571922235
0.2866666666666666,0.4666666666666668,0.6170212765957446,0.1052631578947368,0.0,0,0.3125,0.0975609756097561,0.7372881355932204,0.1939655172413793,0.0,0.0,0.0,0.0,0.0,1.0,0.5662305082509691,0.2607041778781931,0.4165305730007217,0.3685044509622911,0.2568720463010455,0.2924400511000821,0.414375180152384,0.503464068401172,0.3439267680389002,0.4971665404987321,0.529827289169595,0.4383474106656219,0.1834442292193063,0.3353932192399805,0.4097307128247254
