Carbon concentration (ppm),Silicon concentration (ppm),Manganese concentration (ppm),Sulphur concentration (ppm),Phosphorus concentration (ppm),Nickel concentration (ppm),Chromium concentration (ppm),Molybdenum concentration (ppm),Vanadium concentration (ppm),Copper concentration (ppm),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
690.0000000000001,3000.0,13600.000000000002,70.0,90.0,,,,,,432.0,37.0,68.0,5.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-99.0,28.0
690.0000000000001,3000.0,13600.000000000002,70.0,90.0,,,,,,432.0,37.0,68.0,5.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-72.0,100.0
800.0,3300.0,14100.0,60.0,90.0,,,,,,432.0,43.0,55.0,78.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,478.0,540.0,31.2,80.7,,
800.0,3300.0,14100.0,60.0,90.0,,,,,,432.0,43.0,55.0,78.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-77.0,28.0
800.0,3300.0,14100.0,60.0,90.0,,,,,,432.0,43.0,55.0,78.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-55.0,100.0
760.0,3700.0,13600.000000000002,50.0,90.0,,,,,,422.0,36.0,53.0,190.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,485.0,549.0,31.4,79.8,,
760.0,3700.0,13600.000000000002,50.0,90.0,,,,,,422.0,36.0,53.0,190.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-86.0,28.0
760.0,3700.0,13600.000000000002,50.0,90.0,,,,,,422.0,36.0,53.0,190.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-58.0,100.0
780.0,4400.0,13100.0,50.0,80.0,,,,,,431.0,36.0,50.0,340.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,491.0,564.0,28.2,78.9,,
780.0,4400.0,13100.0,50.0,80.0,,,,,,431.0,36.0,50.0,340.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-88.0,28.0
780.0,4400.0,13100.0,50.0,80.0,,,,,,431.0,36.0,50.0,340.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-63.0,100.0
760.0,5100.0,13000.0,50.0,80.0,,,,,,423.0,43.0,48.0,490.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,485.0,560.0,25.2,78.9,,
760.0,5100.0,13000.0,50.0,80.0,,,,,,423.0,43.0,48.0,490.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-90.0,28.0
760.0,5100.0,13000.0,50.0,80.0,,,,,,423.0,43.0,48.0,490.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-55.0,100.0
790.0,5699.999999999999,13200.0,40.0,80.0,,,,,,422.0,38.0,52.0,610.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,491.0,570.0,29.2,77.0,,
790.0,5699.999999999999,13200.0,40.0,80.0,,,,,,422.0,38.0,52.0,610.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-74.0,28.0
790.0,5699.999999999999,13200.0,40.0,80.0,,,,,,422.0,38.0,52.0,610.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-38.0,100.0
740.0,3200.0,15000.0,60.0,60.0,,,,,,375.0,99.0,89.0,8.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,484.0,547.0,29.4,79.8,,
740.0,3200.0,15000.0,60.0,60.0,,,,,,375.0,99.0,89.0,8.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-74.0,28.0
740.0,3200.0,15000.0,60.0,60.0,,,,,,375.0,99.0,89.0,8.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-52.0,100.0
740.0,2700.0,14100.0,70.0,60.0,,,,,,407.0,88.0,70.0,47.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,442.0,514.0,32.2,81.6,,
740.0,2700.0,14100.0,70.0,60.0,,,,,,407.0,88.0,70.0,47.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-57.0,28.0
740.0,2700.0,14100.0,70.0,60.0,,,,,,407.0,88.0,70.0,47.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-31.0,100.0
709.9999999999999,3900.0,13600.000000000002,50.0,90.0,,,,,,381.0,92.0,52.0,160.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,481.0,545.0,30.6,81.4,,
709.9999999999999,3900.0,13600.000000000002,50.0,90.0,,,,,,381.0,92.0,52.0,160.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-68.0,28.0
709.9999999999999,3900.0,13600.000000000002,50.0,90.0,,,,,,381.0,92.0,52.0,160.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-56.0,100.0
690.0000000000001,4500.0,13600.000000000002,50.0,80.0,,,,,,374.0,63.0,44.0,280.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,474.0,540.0,28.0,80.7,,
690.0000000000001,4500.0,13600.000000000002,50.0,80.0,,,,,,374.0,63.0,44.0,280.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-68.0,28.0
690.0000000000001,4500.0,13600.000000000002,50.0,80.0,,,,,,374.0,63.0,44.0,280.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-61.0,100.0
690.0000000000001,5100.0,13899.999999999998,40.0,80.0,,,,,,379.0,69.0,41.0,480.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,466.0,533.0,27.2,77.0,,
690.0000000000001,5100.0,13899.999999999998,40.0,80.0,,,,,,379.0,69.0,41.0,480.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-70.0,28.0
690.0000000000001,5100.0,13899.999999999998,40.0,80.0,,,,,,379.0,69.0,41.0,480.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-54.0,100.0
720.0,5699.999999999999,14000.0,40.0,80.0,,,,,,360.0,80.0,38.0,640.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,486.0,555.0,26.6,78.0,,
720.0,5699.999999999999,14000.0,40.0,80.0,,,,,,360.0,80.0,38.0,640.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-68.0,28.0
720.0,5699.999999999999,14000.0,40.0,80.0,,,,,,360.0,80.0,38.0,640.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-41.0,100.0
810.0,3400.0000000000005,15400.0,70.0,80.0,,,,,,312.0,180.0,80.0,3.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,502.0,555.0,26.6,78.9,,
810.0,3400.0000000000005,15400.0,70.0,80.0,,,,,,312.0,180.0,80.0,3.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-67.0,28.0
810.0,3400.0000000000005,15400.0,70.0,80.0,,,,,,312.0,180.0,80.0,3.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-52.0,100.0
720.0,2400.0,13200.0,60.0,80.0,,,,,,397.0,180.0,68.0,47.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,452.0,535.0,30.7,78.9,,
720.0,2400.0,13200.0,60.0,80.0,,,,,,397.0,180.0,68.0,47.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-54.0,28.0
720.0,2400.0,13200.0,60.0,80.0,,,,,,397.0,180.0,68.0,47.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-35.0,100.0
720.0,3400.0000000000005,13300.0,60.0,80.0,,,,,,427.0,190.0,57.0,150.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,467.0,522.0,29.2,77.0,,
720.0,3400.0000000000005,13300.0,60.0,80.0,,,,,,427.0,190.0,57.0,150.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-64.0,28.0
720.0,3400.0000000000005,13300.0,60.0,80.0,,,,,,427.0,190.0,57.0,150.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-52.0,100.0
740.0,4100.0,13600.000000000002,50.0,50.0,,,,,,418.0,260.0,49.0,320.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,514.0,570.0,23.6,77.0,,
