Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2)
0.074,0.36,1.51,0.008,0.011,0.04,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,0.39072700985826186,2.779064856710175,0.5951231137393478,0.09720965850190406,0.02,0.004,0.010990245767524557,9.823249466532125e-05,0.007921698470231716,0.0,1.0,0.0,471.0,563.0,31.2,77.0,,,
0.075,0.36,1.48,0.007,0.006,0.039,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,0.5593542937514258,5.2889633210990015,0.9279364482551142,0.20807325380514358,0.11,0.004,0.020696570304935793,0.0008427613020880644,0.021537868939670666,0.0,1.0,0.0,502.0,578.0,27.6,77.0,,,
0.075,0.36,1.48,0.007,0.006,0.039,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,0.21283402658792344,0.8859774799825517,0.37951763314260295,0.0028261685277855414,0.11,0.004,0.02650314891824408,0.00021802404394153654,0.025749915607797415,0.0,1.0,0.0,462.0,548.0,29.8,77.9,,,
0.074,0.32,1.42,0.008,0.007,0.038,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,0.2397694663941106,0.6432810983917647,0.6438035197382626,0.018,0.19,0.004,0.007,0.001005933570600934,0.0012710557844253633,0.0,1.0,0.0,488.0,566.0,28.2,77.0,,,
0.074,0.32,1.42,0.008,0.007,0.038,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,1.3852681341157282,0.8938311718334284,0.2920505531713475,0.1075419931930463,0.19,0.004,0.009001980799031362,0.002098773281727855,0.019712374864892683,0.0,1.0,0.0,453.0,549.0,31.2,78.8,,,
0.076,0.33,1.48,0.007,0.006,0.04,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,0.8214550217708243,1.2230445188795867,0.667060668043115,0.05189639297068053,0.35,0.004,0.004340998521150535,0.000871252820896214,0.0032544176992155473,0.0,1.0,0.0,504.0,586.0,27.6,77.0,,,
0.076,0.33,1.48,0.007,0.006,0.04,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,0.872590567945985,4.110261934849846,0.12145901103401835,0.08532917437318577,0.35,0.004,0.002983290936273344,0.0012856188059185856,0.03178783999065852,0.0,1.0,0.0,482.0,572.0,28.2,77.9,,,
0.068,0.32,1.49,0.006,0.006,0.039,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,0.9329596759374106,0.35688786132404005,1.1276934909945024,0.07511219860005655,0.66,0.004,0.00766872534652653,0.0015433696751960167,0.02443205324840732,0.0,1.0,0.0,513.0,593.0,28.6,77.0,,,
0.068,0.32,1.49,0.006,0.006,0.039,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,1.7021426937280535,1.5079242031688096,0.26525317676004434,0.14479565904153838,0.66,0.004,0.033620151456313724,0.0019634169814617647,0.03583294449316321,0.0,1.0,0.0,499.0,607.0,28.6,74.0,,,
0.074,0.29,1.49,0.006,0.013,0.0471,0.0072,170.0,21.0,1.0,200.0,250.0,14.0,0.21283402658792344,1.387258715438138,0.8095830445700944,0.018,0.09471527851222902,0.0005,0.0006,0.000773747400889894,0.019606493048508793,0.0,1.0,0.0,431.0,527.0,29.6,78.0,,,
