Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
0.076,0.33,1.48,0.007,0.006,0.04,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,1.0006532898608347,2.8577518397728743,0.5179678569004231,0.0672405973591326,0.35,0.004,0.007641330215113547,0.0003539492446264677,0.015379532137110257,0.0,1.0,0.0,482.0,572.0,28.2,77.9,,
0.068,0.32,1.49,0.006,0.006,0.039,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,1.0697393673351485,1.4057143592134487,0.34473800353550255,0.01,0.66,0.004,0.015515632491787282,8.291834143742149e-05,0.002622745498232458,0.0,1.0,0.0,513.0,593.0,28.6,77.0,,
0.068,0.32,1.49,0.006,0.006,0.039,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,0.6183843870742354,5.3699021628814325,0.4185062309000866,0.3392784206223023,0.66,0.004,0.007641330215113547,0.0009484512180199811,0.03497999947241308,0.0,1.0,0.0,499.0,607.0,28.6,74.0,,
0.076,0.36,1.49,0.006,0.006,0.041,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,0.2,1.1474793313753615,0.5212892101874449,0.01,1.4,0.004,0.007641330215113547,0.0007085697277000752,0.005967944939540344,0.0,1.0,0.0,568.0,647.0,27.4,73.0,,
0.076,0.36,1.49,0.006,0.006,0.041,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,0.8425998742385651,1.1474793313753615,0.19918994054582573,0.6882519363745019,1.4,0.004,0.011668564388152785,0.00011636741694230298,0.005967944939540344,0.0,1.0,0.0,583.0,673.0,24.2,73.0,,
0.074,0.29,1.49,0.006,0.013,0.0471,0.0072,170.0,21.0,1.0,200.0,250.0,14.0,1.0018065402861542,0.39770487909778574,0.4589943965895218,0.01,0.07509382029347503,0.0005,0.0006,0.0008493953925459216,0.005967944939540344,0.0,1.0,0.0,431.0,527.0,29.6,78.0,,
0.074,0.29,1.49,0.006,0.013,0.0471,0.0072,170.0,21.0,1.0,200.0,0.0,0.0,0.8371000866090383,0.806567926489308,0.5834053590585916,1.1632677703736314,0.62414507743753,0.0005,0.0006,0.0004813013381779556,0.005967944939540344,0.0,1.0,0.0,,,,,-41.0,28.0
0.074,0.29,1.49,0.006,0.013,0.0471,0.0072,170.0,21.0,1.0,200.0,0.0,0.0,2.1329640855501015,3.6635910999307173,0.7120274296382729,0.16388814682555355,0.11,0.0005,0.0006,0.0006286175325343884,0.015283233392517996,0.0,1.0,0.0,,,,,-19.0,100.0
0.074,0.29,1.49,0.006,0.013,0.0471,0.0072,170.0,21.0,1.0,200.0,0.0,0.0,0.2863062862488528,1.1474793313753615,0.6207418776303405,0.5759202037712717,0.11,0.0005,0.0006,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,,,,,,
0.081,0.29,1.43,0.006,0.013,0.0461,0.0054,170.0,21.0,1.0,200.0,250.0,14.0,0.47191201925880516,2.5070065784430233,0.6795879532000704,0.6606035797449273,0.37195650566878746,0.0005,0.006,0.0006286175325343884,0.014136749727510795,0.0,1.0,0.0,444.0,542.0,27.6,72.9,,
0.081,0.29,1.43,0.006,0.013,0.0461,0.0054,170.0,21.0,1.0,200.0,0.0,0.0,0.13966771503672393,3.0078927888212803,0.396966291346844,0.6303873054363828,0.026493197736847482,0.0005,0.006,0.0010764518572897032,0.04670259322659996,0.0,1.0,0.0,,,,,-39.0,28.0
0.081,0.29,1.43,0.006,0.013,0.0461,0.0054,170.0,21.0,1.0,200.0,0.0,0.0,0.2,1.7672912098787412,0.9228128986125166,0.11474624517566148,0.16737096746771693,0.0005,0.006,0.0014889981791892902,0.027260765608190837,0.0,1.0,0.0,,,,,-15.0,100.0
0.081,0.29,1.43,0.006,0.013,0.0461,0.0054,170.0,21.0,1.0,200.0,0.0,0.0,0.2,1.1474793313753615,0.2133996644992358,0.01,0.3569856914447984,0.0005,0.006,0.00024764583762961357,0.006443531775908224,0.0,1.0,0.0,,,,,,
0.076,0.34,1.36,0.005,0.011,0.0476,0.0057,170.0,21.0,1.0,200.0,250.0,14.0,1.1079234552890562,1.1474793313753615,0.396966291346844,0.2317283355688715,0.11,0.0005,0.015,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,437.0,527.0,24.6,78.9,,
